model,budget,n_rows,label_acc,evidence_acc,joint_acc,label_correct_wrong_evidence_rate,correct_label_wrong_evidence_conditional,tool_calls,visible_tool_calls,distinct_hypotheses,repeat_calls,gold_nonempty_query_calls,gold_empty_query_calls,feedback_correct,feedback_incomplete,feedback_irrelevant,first_fixed_example,last_feedback_not_exact,agent_steps,simulated_feedback_cost,zero_feedback,visible_distinct_hypotheses,visible_repeat_calls,visible_feedback_correct,visible_feedback_incomplete,visible_feedback_irrelevant,visible_last_feedback_not_exact,hidden_result_count,natural_answer,time_budget_exceeded,max_steps_reached,visible_nonempty_query_calls,nonempty_n,nonempty_label_correct,nonempty_evidence_exact,nonempty_joint_correct,nonempty_label_correct_wrong_evidence,nonempty_missing_any,nonempty_extra_any,nonempty_evidence_precision,nonempty_evidence_recall,nonempty_queried,nonempty_correct_label_wrong_evidence_conditional,empty_n,empty_label_correct,empty_evidence_exact,empty_joint_correct,empty_label_correct_wrong_evidence,empty_missing_any,empty_extra_any,empty_evidence_precision,empty_evidence_recall,empty_queried,empty_correct_label_wrong_evidence_conditional,verification_eff,visible_verification_eff,budget_limit,budget_fraction,residual_less_than_min_call,residual_at_least_max_call
deepseek-v4-flash-0731,cost_free,13,0.6681749622926093,0.6395173453996983,0.6138763197586727,0.05429864253393665,0.07915723981900452,23.025641025641026,23.025641025641026,11.717948717948719,11.307692307692308,14.846153846153847,8.179487179487179,11.23076923076923,4.410256410256411,7.384615384615385,0.641025641025641,0.5128205128205128,24.384615384615383,6914.979494934997,0.07692307692307691,11.717948717948719,11.307692307692308,11.23076923076923,4.410256410256411,7.384615384615385,0.5128205128205128,0,0.20512820512820512,0,0.5641025641025641,14.846153846153847,9.23076923076923,0.6224766686305148,0.6141832526447911,0.5414115798731184,0.08106508875739644,0.3755961986731218,0.031611977765823925,0.6778405355328432,0.655595003287311,0.7078455732301886,0.12708744247205786,7.769230769230769,0.6954024607870761,0.6954024607870761,0.6954024607870761,0,0,0.022546257161641776,0.9774537428383582,1.0,0.6576000922154769,0.0,0.7700809654146759,0.7700809654146759,,,,
deepseek-v4-flash-0731,cost_moderate,13,0.755656108597285,0.5867269984917044,0.5656108597285068,0.19004524886877827,0.2538307877391588,9.666666666666666,9.102564102564102,5.153846153846153,4.512820512820513,6.051282051282051,3.6153846153846154,4.282051282051282,1.641025641025641,3.7435897435897436,0.7948717948717948,0.48717948717948717,11.051282051282051,2904.364756115545,0,4.769230769230769,4.333333333333333,4.0256410256410255,1.5384615384615385,3.5384615384615383,0.4358974358974359,0.5641025641025641,0.30769230769230765,0.5641025641025641,0,5.666666666666667,9.23076923076923,0.7381665343203805,0.4850017503863658,0.4229138382984537,0.3152526960219268,0.4763484378868994,0.08985587062510139,0.7491906953445415,0.6514720464720465,0.3630595899826669,0.3872487199410276,7.769230769230769,0.7281876243414704,0.7281876243414704,0.7281876243414704,0,0,0.1389063927525466,0.8610936072474534,1.0,0.2437724668493899,0.0,0.3593652074421305,0.3407499195960734,3000.0,0.9681215853718483,0.8974358974358975,0.10256410256410256
deepseek-v4-flash-0731,cost_tight,13,0.702865761689291,0.4751131221719457,0.46153846153846156,0.24132730015082957,0.33163553389797734,2.9743589743589745,2.3076923076923075,2.076923076923077,0.8974358974358974,1.4615384615384617,1.5128205128205128,0.923076923076923,0.5384615384615384,1.4871794871794872,0.8205128205128205,0.6923076923076923,4.128205128205128,886.3310503257582,0,1.717948717948718,0.5897435897435898,0.717948717948718,0.41025641025641024,1.1538461538461537,0.5897435897435898,0.6666666666666666,0.28205128205128205,0.6666666666666666,0,0.9230769230769231,9.23076923076923,0.7146276800122954,0.3445050675819907,0.3109275340044571,0.4037001460078383,0.6074523766831459,0.10580317118778657,0.687054113977191,0.5525885083577391,0.07966008350623735,0.5341902399594707,7.769230769230769,0.6530516492054954,0.6530516492054954,0.6530516492054954,0,0,0.16318766703382087,0.8368123329661792,1.0,0.14538879923495307,0.0,0.08642248065324988,0.07547573509111971,900.0,0.9848122781397314,0.8974358974358975,0.07692307692307691
gemini-3.8-flash-medium,cost_free,13,0.9728506787330317,0.975867269984917,0.9547511312217194,0.01809954751131222,0.018840228399051927,24.897435897435898,24.897435897435898,16.307692307692307,8.58974358974359,14.666666666666666,10.23076923076923,15.871794871794872,3.128205128205128,5.897435897435897,1,0.1282051282051282,25.71794871794872,7485.579232162056,0,16.307692307692307,8.58974358974359,15.871794871794872,3.128205128205128,5.897435897435897,0.1282051282051282,0,0.8205128205128205,0,0.1794871794871795,14.666666666666666,9.23076923076923,0.93996558996559,0.9699061622138545,0.9141452564529488,0.025820333512641205,0.022204291435060666,0.01452393760086068,0.9890353236507082,0.9880461418922958,0.964347618193772,0.026519634211941905,7.769230769230769,0.9888888888888889,0.9888888888888889,0.9888888888888889,0,0,0.01111111111111111,0.9888888888888889,1.0,0.9586247086247086,0.0,0.9534511240393594,0.9534511240393594,,,,
gemini-3.8-flash-medium,cost_moderate,13,0.923076923076923,0.8280542986425339,0.8099547511312217,0.11312217194570136,0.11993712672445704,9.538461538461538,9.35897435897436,6.897435897435898,2.641025641025641,6.743589743589744,2.7948717948717947,5.538461538461538,1.2564102564102564,2.7435897435897436,1,0.358974358974359,10.35897435897436,2863.8379145654826,0,6.743589743589744,2.6153846153846154,5.384615384615385,1.2564102564102564,2.717948717948718,0.3846153846153846,0.1794871794871795,0.8205128205128205,0.1794871794871795,0,6.615384615384616,9.23076923076923,0.8795537795537796,0.7580257349488119,0.7069268338499107,0.17262694570386877,0.23011176857330704,0.05706686475917245,0.8933751433751433,0.8413249144018374,0.5597159251005405,0.1778395393780009,7.769230769230769,0.9274426428272582,0.9274426428272582,0.9274426428272582,0,0,0.07255735717274178,0.9274426428272582,1.0,0.26048011817242583,0.0,0.3906191031191031,0.3816641691641692,3000.0,0.9546126381884942,0.7948717948717948,0
gemini-3.8-flash-medium,cost_tight,13,0.8823529411764706,0.7209653092006033,0.7058823529411765,0.1764705882352941,0.19390300498897783,2.435897435897436,2.282051282051282,2.2564102564102564,0.1794871794871795,1.2307692307692308,1.205128205128205,0.7948717948717948,0.30769230769230765,1.3333333333333333,1,0.43589743589743585,3.282051282051282,734.1775594966916,0,2.128205128205128,0.15384615384615383,0.717948717948718,0.30769230769230765,1.2564102564102564,0.3846153846153846,0.15384615384615383,0.8461538461538461,0.15384615384615383,0,1.1538461538461537,9.23076923076923,0.8597970405662714,0.6054505323736092,0.5667447936678706,0.29305224689840076,0.36161018468710776,0.09055474440089825,0.846050117973195,0.7568702807164346,0.11987200833354679,0.3097253174176251,7.769230769230769,0.8576803538341999,0.8576803538341999,0.8576803538341999,0,0,0.1423196461658,0.8576803538341999,1.0,0.14814715199330583,0.0,0.06260975491744722,0.055598247905940215,900.0,0.8157528438852129,0.6153846153846154,0.02564102564102564
glm-5.3,cost_free,13,0.8687782805429864,0.8642533936651584,0.8446455505279035,0.024132730015082957,0.0295109710550887,26.28205128205128,26.28205128205128,15.35897435897436,10.923076923076923,15.307692307692308,10.974358974358974,15.076923076923077,3.6666666666666665,7.538461538461538,1,0.23076923076923075,27.153846153846153,7895.183170818938,0,15.35897435897436,10.923076923076923,15.076923076923077,3.6666666666666665,7.538461538461538,0.23076923076923075,0,0.7435897435897436,0,0.23076923076923078,15.307692307692308,9.23076923076923,0.8446399754092062,0.8533620225927918,0.804510873741643,0.040129101667563206,0.14072081764389457,0.02044109736417429,0.8811188811188811,0.8754736716275178,0.9131074054150977,0.04959655728886498,7.769230769230769,0.8846153846153846,0.8846153846153846,0.8846153846153846,0,0,0.01282051282051282,0.9871794871794872,1.0,0.8894993894993894,0.0,0.8990861890748768,0.8990861890748768,,,,
glm-5.3,cost_moderate,13,0.8521870286576169,0.751131221719457,0.7360482654600302,0.11613876319758673,0.12989388062917476,9.76923076923077,9.487179487179487,7.0,2.769230769230769,5.846153846153846,3.923076923076923,2.41025641025641,1.8974358974358976,5.461538461538462,1,0.6923076923076923,10.692307692307692,2935.0497555350644,0,6.794871794871795,2.692307692307692,2.307692307692308,1.8461538461538463,5.333333333333333,0.7435897435897436,0.28205128205128205,0.6923076923076923,0.28205128205128205,0,5.615384615384615,9.23076923076923,0.842717538871385,0.7054718785488017,0.6613326844096075,0.18138485446177754,0.2723605454374685,0.08081149619611158,0.8412087912087912,0.8051007824084747,0.4438497400035862,0.19851473313011775,7.769230769230769,0.8318694126386434,0.8318694126386434,0.8318694126386434,0,0,0.09120751043827967,0.9087924895617203,1.0,0.38927738927738925,0.0,0.16532912474654557,0.15830753899192812,3000.0,0.9783499185116882,1,0
glm-5.3,cost_tight,13,0.7586726998491704,0.5158371040723982,0.502262443438914,0.2564102564102564,0.3104059276570589,3.0256410256410255,2.564102564102564,2.9743589743589745,0.05128205128205128,1.0769230769230769,1.9487179487179487,0.4358974358974359,0.48717948717948717,2.1025641025641026,1,0.7692307692307692,3.7948717948717947,907.4500093303429,0,2.5128205128205128,0.05128205128205128,0.358974358974359,0.38461538461538464,1.8205128205128205,0.7948717948717948,0.4615384615384615,0.5128205128205128,0.4615384615384615,0,0.8717948717948718,9.23076923076923,0.8011578165424319,0.4002557271788041,0.37040224732532423,0.43075556921710767,0.5663746509900356,0.10153094768479384,0.7643782143782144,0.6107202341817727,0.08629447475601322,0.5050595415980031,7.769230769230769,0.6909372678603448,0.6909372678603448,0.6909372678603448,0,0,0.18085760393452702,0.819142396065473,1.0,0.22193191423960654,0.0,0.03457418649726342,0.03136905829213522,900.0,1.0082777881448255,1,0
gpt-5.6-sol,cost_free,13,0.8597285067873303,0.7043740573152337,0.6772247360482655,0.18250377073906485,0.2113702285647987,8.512820512820513,8.512820512820513,5.410256410256411,3.1025641025641026,4.589743589743589,3.923076923076923,4.282051282051282,1.0,3.230769230769231,1,0.7948717948717948,9.461538461538462,2562.719789123975,0,5.410256410256411,3.1025641025641026,4.282051282051282,1.0,3.230769230769231,0.7948717948717948,0,0.9487179487179487,0,0.05128205128205128,4.589743589743589,9.23076923076923,0.8766344766344767,0.6359115243730629,0.5782802667418052,0.2983542098926714,0.33849099618330386,0.09626954242338857,0.8812524370216678,0.7853816838432223,0.30106560106560104,0.3401802613341075,7.769230769230769,0.7987871103255718,0.8064794180178796,0.7987871103255718,0,0,0.1913838298453683,0.8086161701546317,1.0,0.35283135667751053,0.0,0.2630227615521733,0.2630227615521733,,,,
