slot_id,agent_id,model,budget,strategy,metric,old,new,delta,source_sha256,old_source_sha256,new_source_sha256,source_replaced,reason
00f8e194c1badaa56bf899c5,1,deepseek-v4-flash-0731,cost_tight,cached,evidence_acc,0.0,0.29411764705882354,0.29411764705882354,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,terminal_answer_boundary_repaired
00f8e194c1badaa56bf899c5,1,deepseek-v4-flash-0731,cost_tight,cached,final_answer_hypotheses,0,17,17,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,terminal_answer_boundary_repaired
00f8e194c1badaa56bf899c5,1,deepseek-v4-flash-0731,cost_tight,cached,final_answer_parsed,0,1,1,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,terminal_answer_boundary_repaired
00f8e194c1badaa56bf899c5,1,deepseek-v4-flash-0731,cost_tight,cached,label_acc,0.0,0.9411764705882353,0.9411764705882353,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,terminal_answer_boundary_repaired
00f8e194c1badaa56bf899c5,1,deepseek-v4-flash-0731,cost_tight,cached,verification_eff,,0.2,,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,terminal_answer_boundary_repaired
0378b8ca3bf694b4e76f59bb,1,kimi-k3,cost_tight,naive,final_answer_hypotheses,0,17,17,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,0,unchanged
0378b8ca3bf694b4e76f59bb,1,kimi-k3,cost_tight,naive,final_answer_parsed,0,1,1,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,0,unchanged
0a6e880236b69718a2b28aa5,1,kimi-k3,cost_moderate,naive,final_answer_hypotheses,0,17,17,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,0,unchanged
0a6e880236b69718a2b28aa5,1,kimi-k3,cost_moderate,naive,final_answer_parsed,0,1,1,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,0,unchanged
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,evidence_acc,0.0,0.9411764705882353,0.9411764705882353,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,final_answer_hypotheses,0,17,17,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,final_answer_parsed,0,1,1,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified,0,5,5,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified_nonempty,0,3,3,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
0d3453888c175559af6d98cf,2,glm-5.3,cost_moderate,poolact,label_acc,0.0,0.9411764705882353,0.9411764705882353,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,explicit_terminal_label_selected_from_full_response
